floor,0,0
floor,0,1
floor,0,2
wall,0,3
wall,0,4
wall,-128,-121
wall,-128,-120
floor,-128,-119
floor,-128,-118
floor,-128,-117
floor,-128,-116
floor,-128,-115
floor,-128,-114
wall,-128,-113
wall,-128,-112
floor,-129,-74
wall,-129,-75
floor,-129,-72
floor,-129,-73
floor,-129,-70
floor,-129,-71
floor,1,-2
wall,-129,-69
wall,1,-3
floor,1,0
floor,1,-1
floor,1,3
wall,1,4
floor,1,1
floor,1,2
wall,-127,-121
floor,-127,-120
floor,-127,-117
floor,-127,-116
floor,-127,-119
floor,-127,-118
wall,-127,-113
floor,-127,-115
wall,-127,-114
floor,-128,-73
floor,-128,-74
wall,-128,-75
wall,-128,-69
wall,2,-3
wall,-128,-70
floor,-128,-71
floor,-128,-72
floor,2,1
floor,2,0
floor,2,-1
wall,2,-2
wall,-126,-121
floor,-126,-120
floor,-126,-119
floor,2,2
floor,2,3
wall,2,4
wall,-126,-114
floor,-126,-118
floor,-126,-117
floor,-126,-116
wall,-126,-115
wall,-127,-74
wall,-127,-75
wall,-127,-72
wall,-127,-73
wall,3,0
wall,3,-1
wall,3,2
wall,3,1
wall,-127,-70
wall,-127,-71
wall,3,-2
floor,-125,-119
floor,-125,-118
wall,-125,-121
floor,-125,-120
wall,3,3
wall,3,4
wall,-125,-115
floor,-125,-117
floor,-125,-116
wall,-124,-115
floor,-124,-116
wall,-124,-121
floor,-124,-119
wall,-124,-120
floor,-124,-117
floor,-124,-118
wall,-123,-114
wall,-123,-115
wall,-123,-120
floor,-123,-116
floor,-123,-117
floor,-123,-118
floor,-123,-119
wall,-122,-114
floor,-122,-117
floor,-122,-118
floor,-122,-115
floor,-122,-116
floor,-122,-119
wall,-122,-120
wall,-121,-114
floor,-121,-115
floor,-121,-116
floor,-121,-117
floor,-121,-118
wall,-121,-119
wall,-121,-120
floor,-120,-118
floor,-120,-117
wall,-120,-119
wall,-120,-114
wall,-120,-113
floor,-120,-116
floor,-120,-115
wall,-118,-119
wall,-119,-119
floor,-119,-118
floor,-119,-117
floor,-119,-116
floor,-119,-115
floor,-119,-114
wall,-119,-113
wall,-117,-118
floor,-118,-114
wall,-118,-113
floor,-118,-116
floor,-118,-115
wall,-118,-118
floor,-118,-117
floor,-116,-117
wall,-116,-118
wall,-117,-113
wall,-117,-112
floor,-117,-117
floor,-117,-116
floor,-117,-115
floor,-117,-114
wall,-115,-117
floor,-115,-116
wall,-115,-118
floor,-116,-113
floor,-116,-114
floor,-116,-115
floor,-116,-116
wall,-116,-112
wall,-114,-117
floor,-114,-116
floor,-114,-115
floor,-115,-114
floor,-115,-115
wall,-115,-112
floor,-115,-113
wall,-115,-111
floor,-113,-115
floor,-113,-114
wall,-113,-117
wall,-113,-116
wall,-114,-111
floor,-114,-112
floor,-114,-113
floor,-114,-114
wall,-112,-116
floor,-112,-115
floor,-112,-114
floor,-112,-113
floor,-113,-112
floor,-113,-113
wall,-113,-111
floor,-111,-111
wall,-111,-110
floor,-110,-111
floor,-110,-112
floor,-110,-113
floor,-110,-114
wall,-110,-115
wall,-110,-116
floor,-112,-112
wall,-112,-111
wall,-112,-110
floor,-111,-114
floor,-111,-115
floor,-111,-112
floor,-111,-113
wall,-111,-116
wall,-109,-109
floor,-108,-113
floor,-108,-114
wall,-108,-115
wall,-108,-109
floor,-108,-110
floor,-108,-111
floor,-108,-112
wall,-110,-110
floor,-109,-114
wall,-109,-115
floor,-109,-112
floor,-109,-113
wall,-109,-110
floor,-109,-111
wall,-106,-108
wall,-106,-107
floor,-106,-110
floor,-106,-109
floor,-106,-112
floor,-106,-111
wall,-106,-114
floor,-106,-113
floor,-107,-111
floor,-107,-110
wall,-107,-109
wall,-107,-108
wall,-107,-115
wall,-107,-114
floor,-107,-113
floor,-107,-112
wall,-105,-103
wall,-105,-104
wall,-105,-105
floor,-104,-110
floor,-104,-109
floor,-104,-112
floor,-104,-111
floor,-104,-106
floor,-104,-105
floor,-104,-108
floor,-104,-107
wall,-104,-114
wall,-104,-113
wall,-106,-106
floor,-105,-113
floor,-105,-112
floor,-105,-111
floor,-105,-110
floor,-105,-109
floor,-105,-108
floor,-105,-107
wall,-105,-106
wall,-105,-114
wall,-102,-111
floor,-102,-105
floor,-102,-106
floor,-102,-103
floor,-102,-104
floor,-102,-109
wall,-102,-110
floor,-102,-107
floor,-102,-108
wall,-103,-99
floor,-103,-103
floor,-103,-102
wall,-103,-101
wall,-103,-100
wall,-103,-112
wall,-103,-113
floor,-103,-104
floor,-103,-105
floor,-103,-106
floor,-103,-107
floor,-103,-108
floor,-103,-109
floor,-103,-110
wall,-103,-111
wall,-104,-102
wall,-104,-101
floor,-104,-104
wall,-104,-103
wall,-100,-107
wall,-100,-108
wall,-100,-105
wall,-100,-106
floor,-100,-103
floor,-100,-104
floor,-100,-101
floor,-100,-102
floor,-101,-101
floor,-101,-100
floor,-101,-99
floor,-101,-98
wall,-101,-97
wall,-101,-96
wall,-101,-95
wall,-101,-94
wall,-101,-110
floor,-101,-106
floor,-101,-107
wall,-101,-108
wall,-101,-109
floor,-101,-102
floor,-101,-103
floor,-101,-104
floor,-101,-105
floor,-102,-100
wall,-102,-99
floor,-102,-102
floor,-102,-101
wall,-102,-98
wall,-102,-97
wall,-98,-102
wall,-98,-101
floor,-98,-100
floor,-98,-99
wall,-98,-103
wall,-99,-91
floor,-99,-94
floor,-99,-95
wall,-99,-92
floor,-99,-93
floor,-99,-98
floor,-99,-99
floor,-99,-96
floor,-99,-97
floor,-99,-101
floor,-99,-100
wall,-99,-103
floor,-99,-102
wall,-99,-105
wall,-99,-104
wall,-100,-92
wall,-100,-93
wall,-100,-94
floor,-100,-95
floor,-100,-96
floor,-100,-97
floor,-100,-98
floor,-100,-99
floor,-100,-100
wall,-96,-99
wall,-96,-98
wall,-96,-97
floor,-97,-96
floor,-97,-97
floor,-97,-94
floor,-97,-95
floor,-97,-92
floor,-97,-93
wall,-97,-90
wall,-97,-91
wall,-97,-99
floor,-97,-98
wall,-97,-101
wall,-97,-100
floor,-98,-95
floor,-98,-96
floor,-98,-97
floor,-98,-98
wall,-98,-91
floor,-98,-92
floor,-98,-93
floor,-98,-94
wall,-94,-90
floor,-94,-94
floor,-94,-93
floor,-94,-92
floor,-94,-91
floor,-93,-94
wall,-93,-95
floor,-93,-91
wall,-93,-90
floor,-93,-93
floor,-93,-92
floor,-92,-93
floor,-92,-94
wall,-92,-95
wall,-96,-96
floor,-96,-95
floor,-96,-94
floor,-96,-93
floor,-96,-92
floor,-96,-91
wall,-96,-90
wall,-95,-96
floor,-95,-93
floor,-95,-92
wall,-95,-95
floor,-95,-94
floor,-95,-91
wall,-95,-90
wall,-94,-95
wall,-90,-89
wall,-90,-90
floor,-89,-93
floor,-89,-92
floor,-89,-91
floor,-89,-90
wall,-89,-95
floor,-89,-94
wall,-89,-89
floor,-88,-90
wall,-88,-89
floor,-88,-92
floor,-88,-91
wall,-88,-94
floor,-88,-93
wall,-88,-95
floor,-92,-91
floor,-92,-92
wall,-92,-90
wall,-91,-95
floor,-91,-94
floor,-91,-93
floor,-91,-92
wall,-91,-90
floor,-91,-91
wall,-90,-95
floor,-90,-92
floor,-90,-91
floor,-90,-94
floor,-90,-93
wall,-85,-89
floor,-85,-90
floor,-85,-91
floor,-85,-92
floor,-85,-93
wall,-85,-94
floor,-84,-91
floor,-84,-92
wall,-84,-89
floor,-84,-90
floor,-84,-93
wall,-84,-94
floor,-87,-92
floor,-87,-93
wall,-87,-94
wall,-87,-89
floor,-87,-90
floor,-87,-91
floor,-86,-93
wall,-86,-94
floor,-86,-91
floor,-86,-92
wall,-86,-89
floor,-86,-90
floor,-82,-60
floor,-81,-91
floor,-82,-59
floor,-81,-90
floor,-82,-62
floor,-81,-93
floor,-82,-61
floor,-81,-92
wall,-82,-63
wall,-81,-94
wall,-82,-58
wall,-81,-89
wall,-82,-57
floor,-81,-61
floor,-80,-92
floor,-81,-60
floor,-80,-91
floor,-81,-59
floor,-80,-90
floor,-81,-58
wall,-80,-89
wall,-81,-63
wall,-80,-94
floor,-81,-62
floor,-80,-93
wall,-81,-57
floor,-83,-93
floor,-83,-92
wall,-83,-94
wall,-83,-89
floor,-83,-91
floor,-83,-90
wall,-83,-63
wall,-82,-94
wall,-83,-62
floor,-82,-93
wall,-83,-61
floor,-82,-92
wall,-83,-60
floor,-82,-91
wall,-83,-59
floor,-82,-90
wall,-83,-58
wall,-82,-89
floor,-77,-63
wall,-76,-94
floor,-77,-62
floor,-76,-93
wall,-77,-64
floor,-77,-58
wall,-76,-89
floor,-77,-59
floor,-76,-90
floor,-77,-60
floor,-76,-91
floor,-77,-61
floor,-76,-92
wall,-77,-54
wall,-77,-55
floor,-77,-56
floor,-77,-57
wall,-76,-88
wall,-78,-64
floor,-78,-63
wall,-77,-94
floor,-78,-61
floor,-77,-92
floor,-78,-62
floor,-77,-93
floor,-78,-59
floor,-77,-90
floor,-78,-60
floor,-77,-91
floor,-78,-57
floor,-78,-58
wall,-77,-89
wall,-78,-55
floor,-78,-56
wall,-79,-64
wall,-79,-55
wall,-79,-56
floor,-79,-57
floor,-79,-58
wall,-78,-89
floor,-79,-59
floor,-78,-90
floor,-79,-60
floor,-78,-91
floor,-79,-61
floor,-78,-92
floor,-79,-62
floor,-78,-93
floor,-79,-63
wall,-78,-94
wall,-80,-56
floor,-80,-59
floor,-79,-90
floor,-80,-60
floor,-79,-91
wall,-80,-57
floor,-80,-58
wall,-79,-89
wall,-80,-63
wall,-79,-94
wall,-80,-64
floor,-80,-61
floor,-79,-92
floor,-80,-62
floor,-79,-93
floor,-73,-62
wall,-72,-93
floor,-73,-63
floor,-73,-64
wall,-73,-65
wall,-73,-58
floor,-72,-89
wall,-73,-59
floor,-72,-90
wall,-73,-60
floor,-72,-91
floor,-73,-61
floor,-72,-92
floor,-73,-55
floor,-73,-54
floor,-73,-57
wall,-72,-88
floor,-73,-56
floor,-73,-53
wall,-73,-52
wall,-74,-65
floor,-74,-63
floor,-74,-64
floor,-74,-61
floor,-73,-92
floor,-74,-62
wall,-73,-93
wall,-74,-59
floor,-73,-90
floor,-74,-60
floor,-73,-91
floor,-74,-58
floor,-73,-89
